"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","cell_type"
"27559","HLA-DRA.10",5.3229876867175e-128,-5.14427339221658,0.066,0.462,1.3164280848021e-123,17,"HLA-DRA","Myeloid"
"25881","IGJ",0,7.36362099881998,0.988,0.107,0,16,"IGJ","B"
"25879","CD79A",0,5.13498729559897,0.975,0.038,0,16,"CD79A","B"
"25893","CD27.3",0,3.63264494633281,0.87,0.112,0,16,"CD27","B"
"25885","IGLL5.3",0,1.5899492126527,0.992,0.171,0,16,"IGLL5","B"
"26704","ITGAE.1",3.59972584638188e-91,0.659619541358867,0.495,0.234,8.90248199068703e-87,16,"ITGAE","DCs"
"26548","IGFBP7.1",4.13143046433186e-134,-2.92153514014774,0.548,0.202,1.02174406813391e-129,16,"IGFBP7","Fibroblasts"
"26920","HLA-DRA.9",2.21348450438609e-24,-2.98148013787711,0.807,0.446,5.47416852779723e-20,16,"HLA-DRA","Myeloid"
"26143","TPSAB1.1",0,-3.97906219843256,0.407,0.069,0,16,"TPSAB1","Mast"
"20959","MARCO.1",0,3.97029823305952,0.779,0.046,0,15,"MARCO","Myeloid"
"20930","APOE.3",0,3.89329692117803,0.956,0.198,0,15,"APOE","Fibroblasts"
"20913","C1QA.2",0,3.7181021472904,0.91,0.115,0,15,"C1QA","Myeloid"
"20931","CD14.3",0,2.61759584646264,0.941,0.185,0,15,"CD14","Myeloid"
"21376","HLA-DRA.8",0,2.51129496710352,0.997,0.442,0,15,"HLA-DRA","Myeloid"
"21776","BATF3",0,1.52588814031281,0.362,0.04,0,15,"BATF3","DCs"
"20942","ITGAM.4",0,1.4454606021026,0.908,0.164,0,15,"ITGAM","Myeloid"
"21031","CD4.2",0,1.41091470081667,0.853,0.169,0,15,"CD4","T_NK"
"21846","LYZ.13",1.22543170600424e-303,1.29600946752332,0.996,0.484,3.03061515215936e-299,15,"LYZ","Myeloid"
"21071","FCGR3A.2",0,1.21585870361167,0.815,0.153,0,15,"FCGR3A","Myeloid"
"21042","IRF8.2",0,1.13629455508151,0.801,0.125,0,15,"IRF8","DCs"
"23867","ITGAE",9.56476603264317e-109,-0.191451730415271,0.596,0.232,2.36546228753298e-104,15,"ITGAE","DCs"
"25794","CXCR4.11",7.84267384284649e-12,-2.03849687775341,0.784,0.428,1.93957166807437e-07,15,"CXCR4","B"
"20738","MARCO",0,3.04886871689914,0.327,0.055,0,14,"MARCO","Myeloid"
"20711","APOE.2",0,2.24912605577478,0.652,0.204,0,14,"APOE","Fibroblasts"
"20712","FCGR3A.1",0,1.9588092773716,0.604,0.157,0,14,"FCGR3A","Myeloid"
"20814","ITGAM.3",2.55269188836304e-187,1.57069096970972,0.489,0.172,6.31306230911064e-183,14,"ITGAM","Myeloid"
"20810","CD14.2",3.41187085620104e-194,1.33929218557313,0.553,0.193,8.43789781447079e-190,14,"CD14","Myeloid"
"20777","C1QA.1",9.31674754833695e-243,1.25367820957147,0.465,0.125,2.30412483617921e-238,14,"C1QA","Myeloid"
"20707","HLA-DRA.7",0,1.22081622005889,0.904,0.443,0,14,"HLA-DRA","Myeloid"
"20790","LYZ.12",6.13464181057388e-224,0.909092366039059,0.906,0.486,1.51715826617303e-219,14,"LYZ","Myeloid"
